x_min, x_max, y_min, y_max, z_min, z_max, position_increment, sphere_pts, orientation_num, 
-0.2,0.7,-1,1,-0.2,1.5,0.1,50,20,
x, y, z, qx, qy, qz, qw, j1, j2, j3, j4, j5, j6, j7, 
-0.2,-0.3,0.7,0.549896,0.218207,-0.0961681,0.80047,2.89833,0.164839,0.167544,1.71299,0.298673,1.16934,0.231998,
-0.2,-0.3,0.7,0.240912,-0.109369,-0.658095,0.704919,2.90364,-0.0351867,0.474708,1.81112,1.47826,-0.354608,-0.560038,
-0.2,-0.3,0.7,-0.120001,-0.124899,0.946332,-0.272866,2.94444,0.138833,0.474708,1.82844,0.815871,-1.37478,-0.763692,
-0.2,-0.3,0.7,0.0988827,-0.014907,0.0111632,0.994925,3.08813,-0.259968,0.530556,1.81275,1.33704,1.02267,-0.134093,
-0.2,-0.3,0.8,0.485216,0.809052,0.212872,-0.254334,2.94922,0.594681,-0.502632,1.49494,-1.56023,-1.04057,0.0226729,
-0.2,-0.3,0.8,0.930077,0.0704029,-0.204894,-0.296679,3.13649,0.835042,-0.670176,1.46195,-0.993898,0.92827,-0.180101,
-0.2,-0.3,0.8,0.844791,0.310368,-0.426841,-0.0883543,3.12748,0.881574,-0.781872,1.47878,-0.264629,0.512617,-0.138388,
-0.2,-0.3,0.8,0.700479,0.509244,-0.424114,0.264815,2.87231,0.159773,0.27924,1.48623,-0.288467,0.527389,-0.452887,
-0.2,-0.3,0.8,0.512994,0.653328,-0.137939,0.539419,3.00188,-0.155733,0.586404,1.42106,-0.568645,0.702789,0.255132,
-0.2,-0.3,0.8,-0.143417,-0.591127,0.78482,-0.118565,2.92384,0.189175,0.251316,1.61294,-0.173154,-1.02771,-0.720523,
-0.2,-0.3,0.8,-0.0214381,0.556364,-0.50836,0.65694,3.05416,-0.261636,0.6981,1.62807,0.362284,-0.428763,0.174441,
-0.2,-0.3,0.8,-0.120001,-0.124899,0.946332,-0.272866,2.96022,0.688475,-0.390936,1.432,1.46858,-0.456405,-0.656001,
-0.2,-0.3,0.9,0.237461,0.879552,-0.0269431,-0.411429,3.10726,0.338459,-0.446784,1.0003,-1.56132,-1.23039,-0.413523,
-0.2,-0.3,0.9,0.844791,0.310368,-0.426841,-0.0883543,3.13739,0.530657,-0.530556,0.936115,-0.622109,0.856602,-0.128588,
-0.2,-0.3,0.9,0.700479,0.509244,-0.424114,0.264815,3.06819,0.436062,-0.41886,0.918278,-0.21339,0.77797,0.255264,
-0.2,-0.3,0.9,-0.143417,-0.591127,0.78482,-0.118565,3.06906,0.0599332,0.41886,1.12692,-0.412573,-0.61252,-0.763581,
